"","review","brand","variety","style","country","stars","year","top_ten"
"23",2558,"KOKA","Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor","Cup","Singapore",5,"0",0
"24",2557,"Yamachan","Sapporo Miso Ramen","Pack","USA",4.75,"0",0
"25",2556,"Ching's Secret","Hot Garlic Instant Noodles","Pack","India",4.25,"0",0
"26",2555,"Samyang Foods","Song Song Kimchi Big Bowl","Bowl","South Korea",4.25,"0",0
"27",2554,"Yum-Mie","Instant Noodles Beef In Light Soup Flavour","Pack","Ghana",3.5,"0",0
"28",2553,"Nissin","Hakata Ramen Noodle White Tonkotsu","Bowl","Japan",4.75,"0",0
"29",2552,"MyKuali","Penang White Curry Rice Vermicelli Soup","Bowl","Malaysia",5,"0",0
"30",2551,"KOKA","Signature Tom Yum Flavor Instant Noodles","Pack","Singapore",4,"0",0
"31",2550,"Samyang Foods","Paegaejang Ramen","Pack","South Korea",5,"0",0
"32",2549,"Nissin","Gekikara Ramen Extra Hot Ramen Goreng","Pack","Indonesia",4.5,"0",0
"33",2548,"Ottogi","Plain Instant Noodle No Soup Included","Pack","South Korea",0,"0",0
"34",2547,"Sichuan Guangyou","Chongqing Spicy Hot Noodles","Bowl","China",4,"0",0
"35",2546,"New Touch","Sugo-Men Kyoto Backfat Shoyu Ramen","Bowl","Japan",3.75,"0",0
"36",2545,"KOKA","Instant Noodles Laksa Singapura Flavour","Pack","Singapore",5,"0",0
"37",2544,"Lipton","Cup-A-Soup Chicken Noodle With White Meat Instant Soup","Box","USA",1.5,"0",0
"38",2543,"KOKA","Curry Flavour Instant Noodles","Cup","Singapore",5,"0",0
"39",2542,"Acecook","Super Cup Yochan Ika Yakisoba","Tray","Japan",1.5,"0",0
"40",2541,"Nissin","Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup","Cup","USA",5,"0",0
"41",2540,"Wei Lih","GGE Noodle Snack Wheat Crackers Mexican Spicy","Pack","Taiwan",3.25,"0",0
"42",2539,"Nissin","Demae Iccho Tonkotsu Flavour Instant Noodle","Cup","Hong Kong",3.75,"0",0
"43",2538,"Nissin","Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup","Cup","USA",5,"0",0
"44",2537,"Nissin","Cup NoodlesTom Yam Seafood (More Shrimptacular)","Cup","Singapore",5,"0",0
"45",2536,"Lele","Instant Noodles Beef","Pack","Ghana",3.5,"0",0
"46",2535,"Nissin","Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup","Cup","USA",5,"0",0
"47",2534,"Fujiwara","Hokkaido Hakodate Shoyu Ramen","Pack","Japan",4,"0",0
"48",2533,"Nongshim","Shin Ramyun Black","Pack","South Korea",5,"0",0
"49",2532,"Nissin","Nippon Onomichi Ramen","Bowl","Japan",4.75,"0",0
"50",2531,"Uni-President","Pickled Cabbage Beef","Pack","China",4.25,"0",0
"51",2530,"Ottogi","Ppushu Ppushu Noodle Snack Honey Butter ","Pack","South Korea",2,"0",0
"52",2529,"Maruchan","Gotsumori Chanpon Ramen","Bowl","Japan",4.5,"0",0
"53",2528,"Prima","Juzz's Mee Creamy Chicken Flavour (Export Version)","Pack","Singapore",5,"0",0
"54",2527,"Uni-President","Mushroom Flavor","Pack","Vietnam",0,"0",0
"55",2526,"Samyang Foods","Jjamppong Big Bowl","Bowl","South Korea",4.5,"0",0
"56",2525,"Sokensha","Curry Udon","Pack","Japan",3.5,"0",0
"57",2524,"Nissin","Straits Reborn Laksa","Pack","Singapore",5,"0",0
"58",2523,"Nongshim","Budae Jjigae Noodle Soup","Pack","South Korea",4.5,"0",0
"59",2522,"Takamori","Hearty Japanese Style Curry Udon","Pack","Japan",5,"0",0
"60",2521,"Nissin","Cup Noodles Potato Chips Black Pepper Crab Flavour","Pack","Singapore",4.5,"0",0
"61",2520,"Nissin","Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab)","Cup","Singapore",5,"0",0
"62",2519,"Guava Story","Anchovy Flavor Guava Rice Noodles","Tray","South Korea",1,"0",0
"63",2518,"Samurai Ramen","Umami Ramen","Pack","Japan",4,"0",0
"64",2517,"Ikeda Shoku","Nabeyaki Tempura Udoin","Bowl","Japan",4.5,"0",0
"65",2516,"Fujiwara","Hokkaido Hakodate Miso Ramen","Pack","Japan",3.5,"0",0
"66",2515,"Uni-President","Man Han Feast Spicy Beef Flavor Instant Noodles","Bowl","Taiwan",5,"0",0
"67",2514,"Ogasawara","Kirin Giraffe Shoyu Ramen","Pack","Japan",4.5,"0",0
"68",2513,"Pringles","Nissin Top Ramen Chicken Flavor Potato Crisps ","Can","USA",3.5,"0",0
"69",2512,"Mom's Dry Noodle","Dan Dan Noodle","Pack","Taiwan",5,"0",0
"70",2511,"Samyang Foods","Samyang Ramen Classic Edition","Bowl","South Korea",5,"0",0
"71",2510,"MyKuali","Penang Red Tom Yum Goong Noodle","Pack","Malaysia",5,"0",0
"72",2509,"Maggi","Hot Heads Green Chilli Noodles","Pack","India",3.5,"0",0
"73",2508,"Samyang Foods","Mala Buldak Bokkeummyun","Pack","South Korea",3.75,"0",0
"74",2507,"Indomie","RMy Noodlez Rumput Laut","Pack","Indonesia",4,"0",0
"75",2506,"KOKA","Delight Chicken Flavor Instant Non-Fried Noodles","Pack","Singapore",3.75,"0",0
"76",2505,"Acecook","Super Cup Torigawa Shoyu","Bowl","Japan",3.5,"0",0
"77",2504,"Nongshim","Shin Ramyun","Pack","South Korea",3,"0",0
"78",2503,"Sichuan Guangyou","Sweet Potato Instant Noodle Sout-Hot Flavor","Bowl","China",0,"0",0
"79",2502,"Indomie","Onion Chicken Flavor","Pack","Nigeria",1.5,"0",0
"80",2501,"Happy Cook","Toona Paste Noodle","Pack","Taiwan",4,"0",0
"81",2500,"The Ramen Rater Select","Supreme Creamy Tom Yum Noodle","Box","Malaysia",5,"0",0
"82",2499,"KOKA","Creamy Soup With Crushed Noodles Chicken Flavor","Cup","Singapore",5,"0",0
"83",2498,"Nissin","Demae Ramen Spicy Beef","Pack","Germany",3.75,"0",0
"84",2497,"Nissin","Cup Noodles Spicy","Cup","Germany",3.75,"0",0
"85",2496,"Nissin","Soba Thai","Pack","Germany",4.5,"0",0
"86",2495,"Nissin","Cup Noodles Huhn (Chicken)","Cup","Germany",3.75,"0",0
"87",2494,"Nissin","Demae Ramen Korean Kimchi","Pack","Germany",3.5,"0",0
"88",2493,"Nissin","Cup Noodles Curry","Cup","Germany",3.75,"0",0
"89",2492,"Nissin","Smack Chili","Pack","Hungary",3.75,"0",0
"90",2491,"Nissin","Soba Yakitori Chicken","Cup","Germany",5,"0",0
"91",2490,"Nissin","Demae Ramen Garlic Chicken","Pack","Germany",3.5,"0",0
"92",2489,"Nissin","Cup Noodles Ente (Duck)","Cup","Germany",3,"0",0
"93",2488,"Nissin","Demae Ramen Thai Tom Yum","Pack","Germany",3.75,"0",0
"94",2487,"Nissin","Soba Sukiyaki Beef","Cup","Germany",4.5,"0",0
"95",2486,"Nissin","Demae Ramen Spicy","Pack","Germany",3.5,"0",0
"96",2485,"Nissin","Cup Noodles Shrimps","Cup","Germany",3,"0",0
"97",2484,"Nissin","Demae Ramen Tokyo Soy Sauce","Pack","Germany",4,"0",0
"98",2483,"Paldo","Bul Jjamppong","Bowl","South Korea",5,"0",0
"99",2482,"TTL","Chicken With Chinese Shaoxing Wine","Pack","Taiwan",4.75,"0",0
"100",2481,"Samyang Foods","Buldak Bokkeummyun","Cup","South Korea",3.75,"0",0
"101",2480,"Acecook","Pork Wantan Men","Bowl","Japan",4.25,"0",0
"102",2479,"E-Zee","Instant Noodles Chicken Flavour","Pack","Malaysia",4,"0",0
"103",2478,"Kiki Noodle","Scallion Oil & Soy Sauce Noodle","Pack","Taiwan",5,"0",0
"104",2477,"Kiki Noodle","Sichuan Spices Flavor Noodle","Pack","Taiwan",5,"0",0
"105",2476,"Samyang Foods","Kimchi Stew Ramyun","Bowl","South Korea",4,"0",0
"106",2475,"Maruchan","Seimen Red Spicy Dandan Men","Bowl","Japan",4.75,"0",0
"107",2474,"Ottogi","Ppushu Ppushu Noodle Snack Chilli Cheese Flavor","Pack","South Korea",4.25,"0",0
"108",2473,"Tokyo Noodle","Mini Instant Noodle Mild Curry Flavor","Pack","Japan",2,"0",0
"109",2472,"GGE","Noodle Snack Wheat Cracks Seaweed Flavor","Pack","Taiwan",3.5,"0",0
"110",2471,"Nissin","Cup Noodles Mini Seafood Flavour","Cup","Hong Kong",5,"0",0
"111",2470,"Myojo","Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor","Pack","USA",3.75,"0",0
"112",2469,"KOKA","Signature Curry Flavor Instant Noodles","Cup","Singapore",3.5,"0",0
"113",2468,"Acecook","Dossari Yasai Chanpon","Cup","Japan",4.25,"0",0
"114",2467,"Paldo","Volcano Curry Kkokkomyun","Pack","South Korea",3.5,"0",0
"115",2466,"Sau Tao","Instant Noodle King Pepper Duck Flavour Soup","Pack","Hong Kong",4,"0",0
"116",2465,"Nissin","Cup Noodles XO Sauce Seafood","Cup","China",3.75,"0",0
"117",2464,"Wang","Extreme Spicy Hot Chicken Flavor Udon","Bowl","South Korea",2,"0",0
"118",2463,"Nissin","Gekikara Ramen Rasa Pedas","Pack","Indonesia",3.25,"0",0
"119",2462,"TTL","Sesame Oil Chicken Noodle With Rice Wine","Bowl","Taiwan",5,"0",0
"120",2461,"Fujiwara","Hokkaido Hakodate Shio Ramen","Pack","Japan",4.5,"0",0
"121",2460,"Daifuku","Katsuo Bowl Udon","Bowl","USA",5,"0",0
"122",2459,"Nissin","Cup Noodles MUG Shoyu & Seafood","Pack","Japan",3.5,"0",0
"123",2458,"Samyang Foods","Sari Ramen","Pack","South Korea",0,"0",0
"124",2457,"KOKA","Instant Noodles Chicken Satay Flavour","Pack","Singapore",3.5,"0",0
"125",2456,"KOKA","Signature Spicy Singapore Fried Noodles Instant Noodles","Pack","Singapore",4.25,"0",0
"126",2455,"KOKA","Creamy Soup With Crushed Noodles Sweet Corn Flavor","Cup","Singapore",5,"0",0
"127",2454,"KOKA","Silk Beef Pho Flavor Instant Rice Fettuccine","Bowl","Singapore",3.25,"0",0
"128",2453,"KOKA","Delight Spicy Sesame Flavor Instant Non-Fried Noodles","Pack","Singapore",4.5,"0",0
"129",2452,"KOKA","Signature Laksa Singapura Instant Noodles","Bowl","Singapore",5,"0",0
"130",2451,"KOKA","Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles","Pack","Singapore",5,"0",0
"131",2450,"KOKA","Purple Wheat Noodles Chili & Lime Flavor","Pack","Singapore",4,"0",0
"132",2449,"KOKA","Delight Tomato Flavor Instant Non-Fried Noodles","Pack","Singapore",5,"0",0
"133",2448,"KOKA","Seafood Flavor Instant Noodles","Cup","Singapore",3.5,"0",0
"134",2447,"KOKA","Signature Stir-Fry Original Flavor Instant Noodles","Pack","Singapore",3,"0",0
"135",2446,"KOKA","Creamy Soup Witrh Crushed Noodles Curry Flavor","Cup","Singapore",5,"0",0
"136",2445,"KOKA","Delight Laksa Singapura Flavor Instant Non-Fried Noodles","Pack","Singapore",4.25,"0",0
"137",2444,"KOKA","Silk Spicy Marinara Instant Rice Fettuccine","Bowl","Singapore",5,"0",0
"138",2443,"KOKA","Signature Chicken Flavor Instant Noodles","Cup","Singapore",3.75,"0",0
"139",2442,"Nissin","Cup Noodles Sopa Nissin Hot Sauce Con Camaron","Cup","Mexico",3.5,"0",0
"140",2441,"MyKuali","Penang Hokkien Prawn Flavor Noodle","Box","Japan",5,"0",0
"141",2440,"Master Kong","Roasted Pork Noodle","Pack","China",4.5,"0",0
"142",2439,"Uni-President","Man Han Feast Super Hot Pot Beef Flavor Instant Noodles","Bowl","Taiwan",5,"0",0
"143",2438,"World O' Noodle","Mi Goreng Original Flavour Fried Noodles","Pack","Indonesia",5,"0",0
"144",2437,"Nissin","Raoh Nojyuku Toro Tonkotsu Ramen","Bowl","Japan",4.5,"0",0
"145",2436,"Kang Shi Fu","Artificial Dongpo's Braised Pork Flavour","Pack","Hong Kong",4.75,"0",0
"146",2435,"Mum Ngon","Lau Tom Chua Cay","Pack","Vietnam",3.5,"0",0
"147",2434,"Happy Cook","Old Beijing Fried Bean Sauce Noodle","Pack","Taiwan",4.25,"0",0
"148",2433,"Nissin","Cup Noodles Indonesia Mie Goreng","Cup","Japan",3.75,"0",0
"149",2432,"Fashion Food","Yummy Spicy Rice Soup With Seafood","Bowl","Thailand",3.5,"0",0
"150",2431,"Dream Kitchen","Udon Japanese Style Fresh Noodle","Bowl","USA",3.75,"0",0
"151",2430,"MyKuali","MeeKuali Bihun Sup Rempah Perisa Daging","Pack","Malaysia",5,"0",0
"152",2429,"New Touch","T's Restaurant Sura Tanmen","Cup","Japan",4,"0",0
"153",2428,"TTL","Sesame Oil Chicken With Rice Wine Noodle","Bowl","Taiwan",5,"0",0
"154",2427,"Ajinatori","HALAL Chicken Shoyu Sauce Ramen","Pack","Japan",2.5,"0",0
"155",2426,"Dr. McDougall's","Vegan Pad Thai Noodle Soup","Cup","USA",0,"0",0
"156",2425,"Nissin","Seafood Flavour Rice Vermicelli","Cup","Hong Kong",5,"0",0
"157",2424,"Samyang Foods","Cheese Type Buldak Bokkeummyun (Black Pkg)","Pack","South Korea",3.75,"0",0
"158",2423,"Ve Wong","Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor","Pack","Taiwan",3.5,"0",0
"159",2422,"Nissin","Cup Noodles Sopa Nissin Con Camaron Picante","Cup","Mexico",3.25,"0",0
"160",2421,"Uni-President","Baseball Snack Noodle","Pack","Taiwan",5,"0",0
"161",2420,"Nissin","Cup Noodles Spicy Seafood Flavor","Cup","China",3.75,"0",0
"162",2419,"MyKuali","Penang Red Tom Yum Goong","Box","Japan",5,"0",0
"163",2418,"Myojo","Yomise No Yakisoba Karashi Mentaiko Flavor","Tray","Japan",4.5,"0",0
"164",2417,"Super Bihun","Bihun Kuah Rasa Baso Sapi","Pack","Indonesia",3.75,"0",0
"165",2416,"Xiuhe","Hot & Sour Beef Noodles","Bowl","China",4.25,"0",0
"166",2415,"Nissin","Kitsune Udon Donbei (West)","Bowl","Japan",5,"0",0
"167",2414,"Little Cook","Thailand Green Curry Instant Noodle","Bowl","Taiwan",5,"0",0
"168",2413,"Nissin","Cup Noodles Beef Flavour","Cup","Hong Kong",2.5,"0",0
"169",2412,"Shirakiku","Sanukiya Udon Shrimp Flavor","Pack","USA",3.25,"0",0
"170",2411,"Mama Pat's","Chicken Fajita Flavor Instant Ramen Noodles","Pack","USA",3.75,"0",0
"171",2410,"Mama Pat's","Lamb Stew Flavor Instant Ramen Noodles","Pack","USA",3.75,"0",0
"172",2409,"Mama Pat's","Seafood Gumbo Flavor Instant Ramen Noodles","Pack","USA",3.5,"0",0
"173",2408,"Mama Pat's","Chicken Taco Flavor Instant Ramen Noodles","Pack","USA",3.75,"0",0
"174",2407,"Just Way","Chuan Wei Spicy Guan-miao Noodles","Pack","Taiwan",4.5,"0",0
"175",2406,"Sichuan Guangyou","Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor","Pack","China",0.25,"0",0
"176",2405,"Nissin","Cup Noodles Mini Spicy Seafood","Cup","Hong Kong",4,"0",0
"177",2404,"MyKuali","Penang Hokkien Prawn Noodle Soup","Pack","Singapore",5,"0",0
"178",2403,"Goku-Uma","Yakisoba Japanese Style Noodle","Bowl","USA",4.75,"0",0
"179",2402,"Maggi","Nutri-licious Pazzta Tomato Twist","Pack","India",3.75,"0",0
"180",2401,"Sichuan Baijia","Chongqing Noodles Burning Dry Noodles","Bowl","China",5,"0",0
"181",2400,"Nissin","Cup Noodles Tom Yam Seafood Flavour","Cup","Singapore",5,"0",0
"182",2399,"Indomie","My Noodles Mi Goreng Pizza Cheese","Pack","Indonesia",4,"0",0
"183",2398,"Liang Cheng Mai","Shaanxi Cold Noodle: Mustard Spicy","Tray","China",1,"0",0
"184",2397,"Samyang Foods","Cheese Buldak Bokkeummyun (Black)","Bowl","South Korea",4,"0",0
"185",2396,"Maggi","2 Minute Noodles Chicken Flavour","Pack","Fiji",3.25,"0",0
"186",2395,"Master Kong","Chicken Flavor Instant Noolde","Pack","China",4.25,"0",0
"187",2394,"Nissin","Cup Noodles Prawn Flavour","Cup","Hong Kong",3.75,"0",0
"188",2393,"Ripe'n'Dry","Hokkaido Miso Ramen","Pack","Japan",3,"0",0
"189",2392,"MyKuali","Penang Red Tom Yum Goong Rice Vermicelli Soup","Bowl","Malaysia",5,"0",0
"190",2391,"Ottogi","Jin Jjambbong Spicy Seafood Ramyun","Pack","South Korea",5,"0",0
"191",2390,"Nissin","Rice Vermicelli Pickled Vegetable Pork Flavour","Cup","Hong Kong",3.75,"0",0
"192",2389,"Gefen","Imitation Chicken Flavor","Cup","USA",4,"0",0
"193",2388,"Hua Feng","Three Fresh Delicacies Instant Noodle","Pack","China",4.25,"0",0
"194",2387,"Nissin","Demae Iccho Sesame Oil Flavour Instant Noodle","Bowl","Hong Kong",3.5,"0",0
"195",2386,"Maggi","2 Minute Noodles Curry Flavour","Pack","Fiji",4,"0",0
"196",2385,"Uni-President","Man Han Feast Chilli Beef Flavor Instant Noodles","Bowl","Taiwan",4.75,"0",0
"197",2384,"Sichuan Guangyou","9999 Chongqing Artificial Beef Flavor Instant Noodle","Pack","China",4.25,"0",0
"198",2383,"Nissin","Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe)","Cup","USA",3.5,"0",0
"199",2382,"Nongshim","Seaweed Instant Noodle","Cup","South Korea",0.5,"0",0
"200",2381,"Nissin","Demae Iccho Seafood Flavour Instant Noodle","Cup","Hong Kong",4.75,"0",0
"201",2380,"Pulmuone","Non-Fried Ramyun With Spicy Beef Broth","Pack","South Korea",3.75,"0",0
"202",2379,"Nissin","Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe)","Cup","USA",2.5,"0",0
"203",2378,"Sau Tao","Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured","Pack","Hong Kong",4.5,"0",0
"204",2377,"MyKuali","Penang White Curry Instant Noodle (Japan Version)","Box","Malaysia",5,"0",0
"205",2376,"Nissin","Disney Cuties Instant Chicken With Corn Flavour","Cup","Thailand",3.25,"0",0
"206",2375,"Uni-President","Man Han Feast Braised Pork Flavor Instant Noodles","Bowl","Taiwan",5,"0",0
"207",2374,"World O' Noodle","Mi Goreng Garlic Flavour Fried Noodles","Pack","Indonesia",4.5,"0",0
"208",2373,"Nissin","Top Ramen Atta Nooldes Masala","Pack","India",4.5,"0",0
"209",2372,"Liu Quan","Instant Spicy Rice Noodle","Bowl","China",4,"0",0
"210",2371,"Daikoku","Tanuki Soba","Cup","Japan",3.5,"0",0
"211",2370,"Samyang Foods","Zzaldduck Buldak Bokkeummyun Snack","Pack","South Korea",4.5,"0",0
"212",2369,"Samyang Foods","Curry Buldak Bokkeummyun","Pack","South Korea",4.25,"0",0
"213",2368,"Samyang Foods","Cool/Ice Buldak Bokkeummyun","Pack","South Korea",3.75,"0",0
"214",2367,"Samyang Foods","2x Spicy Haek Buldak Bokkeummyun","Pack","South Korea",4,"0",0
"215",2366,"Samyang Foods","Buldak Bokkeummyun Snack","Pack","South Korea",5,"0",0
"216",2365,"Samyang Foods","Stew Buldak Bokkeumtangmyun","Pack","South Korea",5,"0",0
"217",2364,"Samyang Foods","Cheese Buldak Bokkeummyun","Pack","South Korea",4,"0",0
"218",2363,"Samyang Foods","Buldak Bokkeummyun (New Packaging)","Pack","South Korea",4,"0",0
"219",2362,"Chuan Wei Wang","Bowl Instant Noodles Artificial Spicy Beef Flavor","Bowl","China",4,"0",0
"220",2361,"Nissin","Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle)","Bowl","Hong Kong",5,"0",0
"221",2360,"Wai Wai","Instant Noodles Artificial Chicken Flavoured","Pack","India",2,"0",0
"222",2359,"Daikoku","Kitsune Udon","Cup","Japan",2,"0",0
"223",2358,"Sichuan Baijia","Pickled Cabbage Flavor Instant Vermicelli","Bowl","China",4,"0",0
"224",2357,"Kamfen","Noodle King Artificial Wonton Soup Flavored","Bowl","Hong Kong",5,"0",0
"225",2356,"Nongshim","Spicy Shrimp Cup Noodle","Cup","South Korea",4,"0",0
"226",2355,"Marutai","Nagasaki Agodashi Shoyu Ramen","Pack","Japan",4,"0",0
"227",2354,"Vifon","Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli","Bowl","Vietnam",5,"0",0
"228",2353,"Nissin","Cup Noodles Rich Garlic, Egg Yolk & Oxtail","Cup","Japan",4,"0",0
"229",2352,"Uni-President","Minced Pork Flavor Instant Noodles","Pack","Taiwan",1,"0",0
"230",2351,"1 To 3 Noodles","Chatpat Masala","Pack","India",4,"0",0
"231",2350,"Nissin","Cup Noodles BIG XO Sauce Seafood Flavour","Cup","Hong Kong",4,"0",0
"232",2349,"Fantastic","Noodles Chicken & Corn Flavour","Cup","Australia",3,"0",0
"233",2348,"Ripe'n'Dry","Hokkaido Salt Ramen","Pack","Japan",3,"0",0
"234",2347,"Nissin","Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle)","Bowl","Hong Kong",3,"0",0
"235",2346,"Knorr","Chatt Patta Instant Noodles","Pack","Pakistan",1,"0",0
"236",2345,"Sempio","Clam Flavor Soup Kal-guksu","Pack","South Korea",5,"0",0
"237",2344,"Nissin","Cup Noodles Sopa Nissin Sabor A Pollo","Cup","Mexico",4,"0",0
"238",2343,"Nissin","Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne","Cup","Mexico",4,"0",0
"239",2342,"Nissin","Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen","Pack","Mexico",4,"0",0
"240",2341,"Nissin","Cup Noodles Sopa Nissin Sabor A Carne De Res","Cup","Mexico",4,"0",0
"241",2340,"Nissin","RapiFideo Sabor A Tomate Y Pollo","Cup","Mexico",4,"0",0
"242",2339,"Nissin","Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon","Cup","Mexico",3,"0",0
"243",2338,"Nissin","Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen","Pack","Mexico",4,"0",0
"244",2337,"Nissin","Cup Noodles Sopa Nissin Con Camaron","Cup","Mexico",3,"0",0
"245",2336,"Nissin","Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante","Cup","Mexico",3,"0",0
"246",2335,"Nissin","Cup Noodles Gourmet Sabor A Caldo De Camaron","Cup","Mexico",5,"0",0
"247",2334,"Nissin","Sopa Nissin Sabor Mariscos, Habanero Y Limon","Cup","Mexico",4,"0",0
"248",2333,"Nissin","Maxi Sopa Nissin Cuchareable Sabor A Pollo","Cup","Mexico",4,"0",0
"249",2332,"Nissin","Sopa Nissin Sabor A Res Instantanea Tipo Ramen","Pack","Mexico",4,"0",0
"250",2331,"Nissin","Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo","Cup","Mexico",4,"0",0
"251",2330,"Ve Wong","Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor","Pack","Taiwan",4,"0",0
"252",2329,"Patanjali","Atta Noodles Jhatpat Banao Befikr Khao","Pack","India",5,"0",0
"253",2328,"Qin Zong","Shaanxi Cold Noot Hot & Sour Flavor","Pack","China",3,"0",0
"254",2327,"Nissin","Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe)","Cup","USA",4,"0",0
"255",2326,"Nissin","Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle","Cup","Hong Kong",4,"0",0
"256",2325,"Pran","Mr. Noodles Curry Flavor Instant Noodles","Pack","Bangladesh",4,"0",0
"257",2324,"Paldo","Bul Jjajangmyeon","Pack","South Korea",5,"0",0
"258",2323,"Ogasawara","Kirin Giraffe Shio Ramen","Pack","Japan",5,"0",0
"259",2322,"Sapporo Ichiban","Mie Kamayama Ramen Gyukotsu Misoaji","Bowl","Japan",3,"0",0
"260",2321,"Sau Tao","Black Pepper XO Sauce Flavour","Bowl","Hong Kong",5,"0",0
"261",2320,"Nissin","Nupasta Bolognese Flavour Instant Noodle","Cup","Japan",4,"0",0
"262",2319,"Nongshim","Saeutang Sabalmyeon","Bowl","South Korea",3.5,"0",0
"263",2318,"Happy Cook","Sichuan Spicy Flavor","Pack","Taiwan",5,"0",0
"264",2317,"MAMA","Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base","Bowl","Thailand",4,"0",0
"265",2316,"Nissin","Cup Noodle Spicy Curry Chicken","Cup","Japan",5,"0",0
"266",2315,"Goku-Uma","Ramen Noodles Miso Flavor","Bowl","USA",3,"0",0
"267",2314,"Nissin","Cup Noodles Spicy Beef Flavour","Cup","Hong Kong",4,"0",0
"268",2313,"Xiao Ban Mian","Sesame Oil With Garlic Flavor Thin Noodle","Pack","Taiwan",3.5,"0",0
"269",2312,"Xiao Ban Mian","Traditional Shallot & Onion Oil Noodle","Pack","Taiwan",5,"0",0
"270",2311,"Xiao Ban Mian","Sesame Sauce Matcha Noodle","Pack","Taiwan",3.8,"0",0
"271",2310,"Pran","Mr. Noodles Instant Noodles Beef Flavour","Pack","Bangladesh",4,"0",0
"272",2309,"Nissin","Cup Noodles Big Seafood Flavour","Cup","Hong Kong",4,"0",0
"273",2308,"Fantastic","Noodles Chicken Chow Mein Flavour","Cup","Australia",4,"0",0
"274",2307,"Ottogi","Ramyun Sabor Pollo","Pack","Mexico",4,"0",0
"275",2306,"Nissin","Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles","Cup","Hong Kong",4,"0",0
"276",2305,"Ajinatori","Chicken Flavor Ramen","Pack","Japan",4,"0",0
